"종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","종목코드"
"대신 2X 니켈선물 ETN(H)",18050,550,0.0314,0,902,5000,0,77553,NA,NA,"510007"
"NI스틸",3155,55,0.0177,500,902,28600,0.0031,1882501,11.82,5.91,"008260"
"국보",1825,25,0.0139,500,901,49376,0.0047,332951,91.25,-36.39,"001140"
"TIGER 중장기국채",52835,100,0.0019,0,898,1700,0,1446,NA,NA,"302190"
"신영와코루",99700,800,-0.008,5000,897,900,0.2618,250,13.37,1.24,"005800"
"티웨이홀딩스",1160,20,-0.0169,500,889,76681,0.0072,614697,-1.13,-17.06,"004870"
"KB KTOP30 ETN",17715,270,-0.015,0,886,5000,0,5524,NA,NA,"580006"
"세우글로벌",3085,35,0.0115,500,886,28705,0.0332,3109551,25.92,0.23,"013000"
"만호제강",21200,100,0.0047,1000,880,4150,0.0431,39500,115.22,0.55,"001080"
"세화아이엠씨",579,10,-0.017,500,878,151569,0.0077,1658478,-3.6,-22.79,"145210"
"대현",1980,80,0.0421,500,877,44282,0.0709,8047339,6.97,8.65,"016090"
"덕양산업",2685,195,0.0783,500,874,32565,0.0101,27802971,-9.13,-26.33,"024900"
"동방아그로",6390,20,-0.0031,500,870,13618,0.2896,17507,12.06,4.79,"007590"
"성보화학",4345,10,0.0023,500,870,20020,0.0075,2977,-51.12,-1.91,"003080"
"제이준코스메틱",2335,65,0.0286,500,862,36909,0.0133,385548,-1.49,-93.55,"025620"
"KODEX 중국본토CSI300",14820,20,-0.0013,0,860,5800,0,132422,NA,NA,"283580"
"동양피스톤",6500,200,-0.0299,500,856,13168,0.0114,325270,-650,9.72,"092780"
"TIGER 유로스탁스50(합성 H)",12205,50,0.0041,0,854,7000,0,8224,NA,NA,"195930"
"동성화학",15950,0,0,1000,851,5336,0.0185,11657,5.65,11.92,"005190"
"휴니드",5990,0,0,5000,846,14116,0.2306,298200,-13.9,7.1,"005870"
"웅진",1065,10,-0.0093,500,845,79378,0.0134,178690,-0.65,-106.55,"016880"
"다스코",5460,100,-0.018,500,841,15400,0.0302,117957,-15.87,1.51,"058730"
"신한 레버리지 천연가스 선물 ETN",4200,325,-0.0718,0,840,20000,0,509100,NA,NA,"500053"
"비상교육",6410,80,-0.0123,500,833,12997,0.0766,19163,-8.37,5.36,"100220"
"쎌마테라퓨틱스",6910,630,0.1003,500,832,12034,0.0134,3068339,-2.84,-724.1,"015540"
"부국철강",4150,105,-0.0247,500,830,20000,0.0083,279269,143.1,1.64,"026940"
"한솔로지스틱스",3020,105,-0.0336,500,830,27477,0.034,2734942,9.68,11.44,"009180"
"삼화왕관",38500,50,0.0013,5000,829,2154,0.0785,939,56.37,NA,"004450"
"화인베스틸",2790,55,0.0201,500,824,29550,0.017,688596,-7.28,-7.77,"133820"
"한국종합기술",7520,710,0.1043,500,823,10950,0.0159,2269497,-21.12,-3.61,"023350"
"참엔지니어링",1485,10,-0.0067,500,823,55445,0.0507,1155581,10.61,-33.98,"009310"
"일성건설",1520,45,0.0305,500,821,54025,0.6319,2416430,40,2.05,"013360"
"유한양행우",69000,200,-0.0029,1000,815,1181,0.0148,8249,26.58,NA,"000105"
"한익스프레스",6770,240,-0.0342,500,812,12000,0.0141,420792,14.07,8.3,"014130"
"세원정공",8090,0,0,500,809,10000,0.1492,0,5.42,1.85,"021820"
"QV Big Vol ETN",16010,350,-0.0214,0,800,5000,0,4,NA,NA,"550001"
"조광페인트",6210,210,-0.0327,500,795,12800,0.0242,198294,12.6,-1.33,"004910"
"유성기업",3050,20,-0.0065,500,791,25948,0.164,180483,13.62,6.47,"002920"
"NH프라임리츠",4220,15,0.0036,500,787,18660,9e-04,47164,31.49,2.74,"338100"
"KB 코스피 마운틴 ETN",7830,0,0,0,783,10000,0,0,NA,NA,"580009"
"영보화학",3865,75,0.0198,500,773,20000,0.5281,115966,38.65,3.56,"014440"
"문배철강",3740,70,-0.0184,500,767,20504,0.0282,355442,15.85,2.14,"008420"
"상신브레이크",3545,125,-0.0341,500,761,21471,0.0175,260989,-15.55,2.4,"041650"
"우신시스템",4150,30,0.0073,500,760,18314,0.0149,783782,46.11,5.18,"017370"
"삼정펄프",30300,50,0.0017,5000,757,2500,0.0382,3515,3.15,2.56,"009770"
"TIGER 차이나HSCEI",13005,50,0.0039,0,754,5800,0,27859,NA,NA,"245360"
"삼성 레버리지 천연가스 선물 ETN B",7530,620,-0.0761,0,753,10000,0,131307,NA,NA,"530068"
"한화솔루션우",66700,100,0.0015,5000,750,1124,0.0183,66125,-118.68,NA,"009835"
"서울식품",207,5,-0.0236,100,750,362085,0.025,12089188,-51.75,-7.65,"004410"
"삼성공조",9070,40,0.0044,500,737,8126,0.0817,224178,38.43,2.21,"006660"
"호전실업",9210,150,-0.016,500,737,8000,0.0261,33794,-5.32,2.26,"111110"
"KBSTAR Fn수소경제테마",12915,370,-0.0279,0,736,5700,0,1039433,NA,NA,"367770"
"KB KQ 우량주30 ETN",14720,200,-0.0134,0,736,5000,0,27,NA,NA,"580007"
"DSR제강",5110,60,-0.0116,500,736,14400,0.036,193145,13.45,4.86,"069730"
"KBSTAR Fn5G테크",12765,115,-0.0089,0,734,5750,0,556803,NA,NA,"367760"
"대원화성",1770,20,-0.0112,500,730,41249,0.0163,187630,-126.43,5.56,"024890"
"SMART KRX300",19580,465,-0.0232,0,724,3700,0,37737,NA,NA,"292500"
"화천기공",32850,400,-0.012,5000,723,2200,0.08,3352,29.25,2.55,"000850"
"KBSTAR 단기국공채액티브",101750,5,0,0,719,707,0.002,317,NA,NA,"272560"
"유양디앤유",1220,0,0,500,714,58494,0.0585,0,-1.4,-8.52,"011690"
"경동인베스트",29950,250,-0.0083,5000,708,2365,0.1106,3980,13.58,2.26,"012320"
"인팩",7070,80,-0.0112,500,707,10000,0.1108,43760,-39.5,-6.29,"023810"
"삼성 레버리지 China A50 선물 ETN(H)",70670,1235,0.0178,0,707,1000,0,2712,NA,NA,"530023"
"KODEX 심천ChiNext(합성)",13085,35,-0.0027,0,707,5400,0.0109,103666,NA,NA,"256750"
"동양고속",24400,150,0.0062,5000,707,2896,0.023,8967,5.19,26.85,"084670"
"미래에셋대우우",5000,60,-0.0119,5000,704,14076,0.0143,43090,5.22,NA,"006805"
"제일연마",7030,120,-0.0168,500,703,10000,0.0486,367321,17.19,7.84,"001560"
"KODEX 증권",8025,230,-0.0279,0,698,8700,0.0041,193914,NA,NA,"102970"
"KB Wise 분할매매 ETN",11605,0,0,0,696,6000,0,9,NA,NA,"580010"
"미래에셋 전기전자 Core5 ETN",34710,810,-0.0228,0,694,2000,0,2823,NA,NA,"520004"
"CS홀딩스",59900,1400,-0.0228,5000,692,1154,0.0275,4579,7.6,4.35,"000590"
"ARIRANG 신흥국MSCI(합성 H)",13095,5,-4e-04,0,689,5260,0,54327,NA,NA,"195980"
"SK디스커버리우",50700,1300,-0.025,5000,689,1358,0.0137,23624,3.33,NA,"006125"
"TIGER KRX바이오K-뉴딜",12000,505,-0.0404,0,684,5700,0,327627,NA,NA,"364970"
"평화산업",1245,25,-0.0197,500,684,54902,0.0242,519609,-124.5,-25.93,"090080"
"TRUE 인버스 2X 나스닥 100 ETN",2265,30,0.0134,0,680,30000,0,678992,NA,NA,"570044"
"금비",67900,400,-0.0059,5000,679,1000,0.004,2892,-19.66,-3.4,"008870"
"KODEX 미국달러선물",9740,10,0.001,0,676,6940,0,86391,NA,NA,"261240"
"호텔신라우",89400,3000,0.0347,5000,672,752,0.0446,80922,-27.13,NA,"008775"
"한국석유",102000,1500,-0.0145,5000,668,655,0.0166,4363,-10.1,-5.29,"004090"
"이구산업",1990,45,-0.0221,500,665,33442,0.0354,262244,-16.18,-3.26,"025820"
"혜인",5200,50,-0.0095,500,661,12713,0.0328,115550,24.19,4.55,"003010"
"대호에이엘",2430,60,-0.0241,500,659,27135,0.0079,474581,-35.22,-12.62,"069460"
"롯데지주우",65900,1500,-0.0223,200,651,988,0.004,2074,-9.64,NA,"00499K"
"KBSTAR 미국S&P원유생산기업(합성 H)",3125,75,0.0246,0,648,20750,0,779360,NA,NA,"219390"
"QV 하드웨어 TOP5 ETN",32400,470,-0.0143,0,648,2000,0,1,NA,NA,"550009"
"TIGER 200TR",22335,430,-0.0189,0,648,2900,0,5069,NA,NA,"310960"
"TIGER 미국MSCI리츠(합성 H)",12155,85,0.007,0,644,5300,0,29883,NA,NA,"182480"
"TIGER 코스피",31410,555,-0.0174,0,644,2050,8e-04,1583,NA,NA,"277630"
"KBSTAR 금융채액티브",103365,25,2e-04,0,641,620,0,5338,NA,NA,"336160"
"대림통상",4185,5,0.0012,1000,637,15225,0.013,2527,-4.1,-11.78,"006570"
"메타랩스",1000,20,-0.0196,500,637,63690,0,338745,-3.29,-40.07,"090370"
"진양산업",4890,55,0.0114,500,636,13000,0.008,325188,8.34,17.84,"003780"
"TIGER 국채3년",111240,75,7e-04,0,634,570,2e-04,4804,NA,NA,"114820"
"코오롱인더우",22650,450,-0.0195,5000,627,2768,0.1297,18141,4.06,NA,"120115"
"두산2우B",69800,200,-0.0029,5000,623,893,4e-04,15175,14.22,NA,"000157"
"TIGER 부동산인프라고배당",4955,25,-0.005,0,619,12500,2e-04,107563,NA,NA,"329200"
"TIGER 반도체",36330,20,6e-04,0,618,1700,0.0026,98987,NA,NA,"091230"
"TIGER 200IT레버리지",72000,3025,-0.0403,0,612,850,0,34757,NA,NA,"243880"
"KBSTAR 중국본토대형주CSI100",23130,70,0.003,0,601,2600,0,167596,NA,NA,"174360"
"우진아이엔에스",7890,0,0,500,601,7622,0.0087,7400,-80.51,1.97,"010400"
"티에이치엔",3340,65,-0.0191,500,601,18000,0.009,779892,-2.84,33.47,"019180"
"미래산업",3215,10,-0.0031,100,600,18663,0.1354,184061,-7.1,-12.97,"025560"
"선도전기",3310,20,-0.006,500,596,18000,0.0268,460708,22.21,-2.52,"007610"
"미래아이앤지",456,12,0.027,100,590,129484,0.0215,4219626,1.89,22.51,"007120"
"TIGER MSCI KOREA ESG유니버설",12990,215,-0.0163,0,588,4530,0,1545,NA,NA,"289250"
"진양화학",4895,5,-0.001,500,587,12000,0.0078,174991,271.94,-7.57,"051630"
"삼성 레버리지 은 선물 ETN(H)",19505,175,0.0091,0,585,3000,0,47681,NA,NA,"530061"
"TIGER MSCI KOREA ESG리더스",11945,255,-0.0209,0,584,4890,0,1555,NA,NA,"289260"
"부국증권우",19450,0,0,5000,584,3000,0.1213,1338,5.2,NA,"001275"
"휴스틸",7590,120,0.0161,5000,578,7622,0.0294,148218,-3.1,-3.13,"005010"
"우진플라임",5780,20,-0.0034,500,578,10000,0.0232,16064,722.5,-22.8,"049800"
"두산퓨얼셀2우B",19300,350,-0.0178,100,576,2986,7e-04,8453,56.6,NA,"33626L"
"미래에셋 레버리지 S&P500 ETN(H)",28680,0,0,0,574,2000,0,0,NA,NA,"590010"
"선창산업",4540,35,0.0078,1000,572,12608,0.0078,10916,-3.24,-15.85,"002820"
"MH에탄올",7750,60,-0.0077,500,572,7379,0.0114,58881,62,-0.88,"023150"
"한일철강",2290,70,0.0315,500,570,24882,0.006,165460,-6.86,-6.98,"002220"
"주연테크",1040,15,-0.0142,200,568,54612,0.0193,630829,-24.76,-11.11,"044380"
"화천기계",2580,40,-0.0153,500,568,22000,0.0111,217554,-7.72,-4.93,"010660"
"HANARO 200선물레버리지",29790,1340,-0.043,0,566,1900,0,17654,NA,NA,"304780"
"평화홀딩스",3815,95,-0.0243,500,558,14625,0.1475,38328,-19.97,-11.1,"010770"
"신한 레버리지 다우존스지수 선물 ETN(H)",27885,555,-0.0195,0,558,2000,0,1021,NA,NA,"500020"
"KODEX 코스피대형주",15020,320,-0.0209,0,556,3700,1e-04,5809,NA,NA,"337140"
"SJM",3560,85,-0.0233,500,556,15605,0.1236,107618,18.16,4.23,"123700"
"폴루스바이오팜",1225,0,0,500,551,45008,0.0178,0,-5.54,-27.04,"007630"
"한신기계",1695,55,0.0335,500,550,32446,0.0623,781068,19.26,2.01,"011700"
"KBSTAR 중기우량회사채",105245,35,-3e-04,0,547,520,0,7999,NA,NA,"136340"
"진도",4385,55,0.0127,500,546,12448,0.0123,213093,-73.08,-2.67,"088790"
"한성기업",8790,70,0.008,5000,546,6210,0.02,111249,-3.89,NA,"003680"
"GS우",30550,450,-0.0145,5000,545,1785,0.1069,7653,-33.13,NA,"078935"
"TRUE S&P500 선물 ETN",10805,0,0,0,540,5000,0,0,NA,NA,"570050"
"컨버즈",4100,0,0,500,539,13141,0.0023,0,-2.18,-548.06,"109070"
"케이탑리츠",1160,15,0.0131,1000,536,46224,0.1204,646979,8.53,8.22,"145270"
"TIGER 소프트웨어",15580,360,-0.0226,0,536,3440,0.0023,85164,NA,NA,"157490"
"전방",31900,350,-0.0109,5000,536,1680,0.0067,5438,-1.9,-38.44,"000950"
"TRUE 나스닥 100 ETN",10675,115,-0.0107,0,534,5000,0,5,NA,NA,"570051"
"TIGER 인버스",4335,90,0.0212,0,533,12300,0.002,873841,NA,NA,"123310"
"KBSTAR 국고채3년선물인버스",99445,35,-4e-04,0,527,530,0,6,NA,NA,"282000"
"QV WISE 배당 ETN",10540,0,0,0,527,5000,0,0,NA,NA,"550002"
"삼성 코스피 풋매도 ETN",10500,15,0.0014,0,525,5000,0,10,NA,NA,"530053"
"솔루스첨단소재2우B",31550,450,-0.0141,100,519,1646,0.0015,3556,91.18,NA,"33637L"
"유엔젤",3935,75,-0.0187,500,519,13195,0.0164,140098,-11.92,-12.8,"072130"
"KODEX 차이나항셍테크",10800,100,-0.0092,0,513,4750,0.0194,518754,NA,NA,"372330"
"TIGER KRX인터넷K-뉴딜",11105,205,-0.0181,0,505,4550,1e-04,92004,NA,NA,"365000"
"TIGER 농산물선물Enhanced(H)",5715,65,0.0115,0,503,8800,0.0076,155961,NA,NA,"137610"
"조일알미늄",600,8,-0.0132,500,503,83775,0.0072,646699,-0.57,-51.1,"018470"
"롯데칠성우",64200,800,-0.0123,500,498,775,0.0699,6697,-6.58,NA,"005305"
"대교우B",2555,10,0.0039,500,496,19427,0.0435,103278,-15.48,NA,"019685"
"TIGER 현대차그룹+펀더멘털",25675,815,-0.0308,0,493,1920,0,100750,NA,NA,"138540"
"대한항공우",43750,1700,-0.0374,5000,486,1111,0.0214,106340,-9.97,NA,"003495"
"신송홀딩스",4055,30,0.0075,500,480,11829,0.0069,32386,-1.61,-32.05,"006880"
"SJM홀딩스",3195,5,0.0016,500,477,14934,0.0557,22414,15.66,3.32,"025530"
"삼성 인버스 2X 나스닥 100 ETN(H)",9530,155,0.0165,0,476,5000,0,7029,NA,NA,"530071"
"케이비아이동국실업",720,3,-0.0041,500,476,66042,0.0092,67903,-2.83,-1.19,"001620"
"QV 소프트웨어 TOP5 ETN",23750,520,-0.0214,0,475,2000,0,6,NA,NA,"550008"
"체시스",1965,0,0,500,472,24000,0.0074,442725,-8.89,-16.17,"033250"
"대동전자",4490,25,-0.0055,500,471,10490,0.418,16285,187.08,3.27,"008110"
"KOSEF 단기자금",100875,0,0,0,467,463,0,406714,NA,NA,"130730"
"KBSTAR KRX300",19855,465,-0.0229,0,467,2350,1e-04,20956,NA,NA,"292050"
"KOSEF 통안채1년",101070,0,0,0,465,460,0,3624,NA,NA,"122260"
"TIGER 차이나항셍테크",10810,80,-0.0073,0,465,4300,0.005,242296,NA,NA,"371160"
"KBSTAR 미국나스닥100",10525,80,-0.0075,0,453,4300,0,1221871,NA,NA,"368590"
"한세엠케이",3445,35,0.0103,500,445,12909,0.0066,37925,-1,-35.15,"069640"
"태양금속",1210,0,0,500,444,36700,0.0258,323277,-13.01,-26.3,"004100"
"경인전자",28200,50,0.0018,5000,443,1571,0.1279,30963,16.81,0.45,"009140"
"TIGER 미국채10년선물",11500,35,0.0031,0,437,3800,0,53175,NA,NA,"305080"
"원림",19800,200,-0.01,5000,436,2200,0.0113,3871,2.73,3.33,"005820"
"한국전자홀딩스",928,10,0.0109,500,434,46803,0.0562,478529,-3.3,-11.06,"006200"
"미래에셋 미국 항공우주 ETN(H)",21695,740,0.0353,0,434,2000,0,817,NA,NA,"590009"
"TIGER 미디어컨텐츠",6330,140,-0.0216,0,431,6810,0.0014,389645,NA,NA,"228810"
"KODEX 코스피TR",14255,295,-0.0203,0,428,3000,0,132,NA,NA,"359210"
"동원수산",9180,70,-0.0076,5000,427,4654,0.0371,37058,64.65,12.71,"030720"
"TIGER 미국다우존스30",17015,165,-0.0096,0,425,2500,0,19796,NA,NA,"245340"
"이화산업",15150,150,-0.0098,5000,424,2800,0.002,1762,-7.99,-4.35,"000760"
"유화증권우",2425,5,-0.0021,1000,424,17476,0,3999,31.09,NA,"003465"
"삼화전자",4050,165,-0.0391,1000,424,10458,0.0998,113149,-10.95,-23.62,"011230"
"TRUE 레버리지 천연가스 선물 ETN(H)",4220,320,-0.0705,0,422,10000,0,311922,NA,NA,"570045"
"엔케이물산",526,12,-0.0223,100,418,79439,0.0133,1230208,3.35,-7.77,"009810"
"KODEX IT",21970,335,-0.015,0,417,1900,0,79581,NA,NA,"266370"
"KBSTAR 중장기국공채액티브",104120,55,-5e-04,0,415,399,0,400,NA,NA,"272570"
"WISCOM",2710,55,0.0207,500,415,15326,0.0433,97142,-60.22,0.92,"024070"
"갤럭시아에스엠",1500,10,-0.0066,500,413,27550,0.0178,314047,NA,-5.7,"011420"
"대신 WTI원유 선물 ETN(H)",5155,25,0.0049,0,412,8000,0,2374,NA,NA,"510001"
"삼성 China A50 선물 ETN(H)",20490,0,0,0,410,2000,0,0,NA,NA,"530014"
"KBSTAR 국고채3년",113440,40,-4e-04,0,408,360,0,7709,NA,NA,"114100"
"QV 화학 TOP5 ETN",20350,400,-0.0193,0,407,2000,0,8,NA,NA,"550013"
"동일제강",2705,135,0.0525,500,406,15000,0.0156,8304627,73.11,0.85,"002690"
"삼성 미국 대형 성장주 ETN(H)",19980,80,-0.004,0,400,2000,0,50,NA,NA,"530015"
"KINDEX KIS종합채권(AA-이상)액티브",99450,100,-0.001,0,398,400,0,21,NA,NA,"356540"
"미래에셋 중국 심천 100 ETN",19865,40,-0.002,0,397,2000,0,74,NA,NA,"590018"
"부산주공",698,6,-0.0085,500,397,56850,0.0396,724250,-1.13,-52.37,"005030"
"미래에셋 미국 대형주 ETN(H)",19810,0,0,0,396,2000,0,0,NA,NA,"590007"
"성문전자",2020,20,-0.0098,500,394,19487,0.0311,297504,-46.98,-6.57,"014910"
"KBSTAR IT플러스",21285,410,-0.0189,0,383,1800,0,195465,NA,NA,"326240"
"동원금속",819,8,-0.0097,500,383,46755,0.0261,262436,-2.28,31.69,"018500"
"KOSEF 코스닥150",7420,185,-0.0243,0,381,5140,0,26511,NA,NA,"316670"
"하이스틸",19050,50,-0.0026,5000,381,2000,0.007,5546,-11.17,0.03,"071090"
"삼성 미국 대형 성장주 ETN",19035,90,-0.0047,0,381,2000,0,437,NA,NA,"530019"
"코아스",1230,0,0,500,380,30907,0.0292,3111486,-35.14,8.97,"071950"
"QV 바이오 TOP5 ETN",19005,835,-0.0421,0,380,2000,0,389,NA,NA,"550014"
"한솔PNS",1840,60,-0.0316,500,377,20493,0.035,431381,10.89,7.94,"010420"
"삼성중공우",328000,5000,-0.015,5000,377,115,0.0267,1334,-165.41,NA,"010145"
"QV KTOP30 ETN",18800,0,0,0,376,2000,0,0,NA,NA,"550026"
"미래에셋 미국 중형주 ETN(H)",18750,0,0,0,375,2000,0,0,NA,NA,"590008"
"HANARO 코스닥150",14850,255,-0.0169,0,374,2520,0.0059,6379,NA,NA,"304770"
"KB 코스피 양매도 5 OTM ETN",7430,0,0,0,372,5000,0,0,NA,NA,"580008"
"진양폴리",3715,0,0,500,372,10000,0.0412,76766,19.15,NA,"010640"
"TIGER 미국달러단기채권액티브",9405,10,-0.0011,0,371,3950,0,55570,NA,NA,"329750"
"KODEX 장기종합채권(AA-이상)액티브KAP",98660,50,-5e-04,0,371,376,0,8,NA,NA,"363570"
"TIGER KRX게임K-뉴딜",11070,65,-0.0058,0,371,3350,0,40888,NA,NA,"364990"
"신한 S&P500 VIX S/T 선물 ETN B",12290,290,0.0242,0,369,3000,0,120703,NA,NA,"500045"
"신한 다우존스지수 선물 ETN(H)",18425,160,-0.0086,0,368,2000,0,1,NA,NA,"500009"
"KODEX 중국본토 A50",24435,120,0.0049,0,367,1500,0,20224,NA,NA,"169950"
"KODEX 건설",3105,75,-0.0236,0,366,11800,0.0032,401953,NA,NA,"117700"
"성안",644,148,0.2984,500,366,56858,0.0027,8603015,-1.7,-16.49,"011300"
"KODEX 미디어&엔터테인먼트",20080,455,-0.0222,0,361,1800,2e-04,22521,NA,NA,"266360"
"QV 레버리지 S&P500 ETN",18035,445,-0.0241,0,361,2000,0,26,NA,NA,"550044"
"KODEX 미국달러선물레버리지",8770,5,6e-04,0,360,4100,0,102565,NA,NA,"261250"
"금호전기",3000,25,-0.0083,500,359,11982,0.0209,55518,-1.14,-80.13,"001210"
"TBH글로벌",1720,15,0.0088,500,359,20857,0.0072,53071,-0.4,-53.17,"084870"
"TRUE 코스피 양매도 3 OTM ETN",7145,0,0,0,357,5000,0,0,NA,NA,"570029"
"TRUE 코스피 양매도 ATM ETN",7145,35,-0.0049,0,357,5000,0,27,NA,NA,"570030"
"미래에셋 에너지화학 Core5 ETN",17710,345,-0.0191,0,354,2000,0,5581,NA,NA,"520006"
"KODEX China H",22065,165,0.0075,0,353,1600,0.5,28887,NA,NA,"099140"
"TIGER 200 에너지화학",20865,350,-0.0165,0,351,1680,3e-04,100572,NA,NA,"139250"
"미래에셋 미디어엔터 Core5 ETN",17485,315,-0.0177,0,350,2000,0,2,NA,NA,"520014"
"KBSTAR 200선물레버리지",24895,1105,-0.0425,0,349,1400,2e-04,18883,NA,NA,"252400"
"신한 인버스 천연가스 선물 ETN(H)",17425,625,0.0372,0,348,2000,0,1291,NA,NA,"500022"
"KODEX China H 레버리지(H)",7700,65,0.0085,0,346,4500,0,54806,NA,NA,"204450"
"바다로19호",2270,5,-0.0022,5000,345,15200,0,13553,20.45,12.05,"155900"
"에이엔피",1580,45,-0.0277,500,345,21826,0,226852,-2.24,-9.67,"015260"
"LG하우시스우",33200,150,-0.0045,5000,343,1032,0.0976,5173,9.57,NA,"108675"
"신한 레버리지 금 선물 ETN",16940,165,0.0098,0,339,2000,0,14344,NA,NA,"500037"
"KOSEF 국고채3년",112875,10,1e-04,0,339,300,0,127,NA,NA,"114470"
"TIGER 차이나바이오테크SOLACTIVE",11870,35,-0.0029,0,337,2840,0,101041,NA,NA,"371470"
"삼성 레버리지 금 선물 ETN(H)",33070,420,0.0129,0,331,1000,0,1920,NA,NA,"530055"
"KODEX MSCI KOREA ESG유니버설",12705,305,-0.0234,0,330,2600,0,3399,NA,NA,"289040"
"이스타코",769,7,-0.009,500,330,42852,0.006,1123494,11.83,25.52,"015020"
"유안타증권우",2545,20,-0.0078,5000,329,12912,0.0177,138079,6.63,NA,"003475"
"BYC우",152500,7500,-0.0469,5000,328,215,0.0026,342,7.21,NA,"001465"
"KODEX 미국나스닥100선물(H)",16360,130,-0.0079,0,327,2000,1e-04,29157,NA,NA,"304940"
"QV 자동차 TOP5 ETN",16340,640,-0.0377,0,327,2000,0,86,NA,NA,"550011"
"태원물산",4280,145,0.0351,500,325,7600,0.0187,74764,138.06,1.67,"001420"
"베트남개발1",236,1,-0.0042,0,325,137680,9e-04,353126,NA,NA,"096300"
"티와이홀딩스우",25850,350,0.0137,500,324,1255,0.0073,24265,NA,NA,"36328K"
"미래에셋 미국 헬스케어 ETN(H)",16200,0,0,0,324,2000,0,0,NA,NA,"590016"
"미래에셋 일본 대형주 ETN(H)",16045,35,0.0022,0,321,2000,0,1,NA,NA,"590005"
"신한 구리 선물 ETN(H)",15985,125,0.0079,0,320,2000,0,823,NA,NA,"500018"
"삼성 인버스 2X WTI원유 선물 ETN",1050,10,-0.0094,0,315,30000,0,2561473,NA,NA,"530036"
"신한 K200 USD 선물 바이셀 ETN",15660,0,0,0,313,2000,0,0,NA,NA,"500001"
"TIGER KRX300",19555,490,-0.0244,0,313,1600,0,13649,NA,NA,"292160"
"KINDEX 코스닥150",14845,370,-0.0243,0,312,2100,0,3390,NA,NA,"354500"
"미래에셋 미국 고배당주 ETN(H)",15475,0,0,0,310,2000,0,1,NA,NA,"590017"
"일양약품우",69000,900,-0.0129,2500,307,445,0.0064,1781,127.54,NA,"007575"
"TIGER 미국나스닥바이오",20375,295,0.0147,0,306,1500,1e-04,47258,NA,NA,"203780"
"KODEX 200가치저변동",10820,225,-0.0204,0,303,2800,0,54724,NA,NA,"223190"
"미래에셋 KRX금현물 Auto-KO-C 2312-01 ETN",10070,55,-0.0054,0,302,3000,0,7521,NA,NA,"520030"
"흥아해운",258,0,0,500,301,116733,0.2303,0,-1.08,-98.7,"003280"
"남양유업우",180000,4000,0.0227,5000,300,167,0.8031,886,-5.51,NA,"003925"
"HANARO Fn K-뉴딜디지털플러스",12960,345,-0.0259,0,298,2300,0,898798,NA,NA,"368190"
"하이트론",4735,45,0.0096,2500,297,6282,0.0175,124339,-1.35,-69.31,"019490"
"KODEX Fn멀티팩터",14725,275,-0.0183,0,294,2000,2e-04,1112,NA,NA,"337120"
"KODEX 고배당",8700,75,-0.0085,0,287,3300,2e-04,4574,NA,NA,"279530"
"QV 롱숏 K150 매수 로우볼 매도 ETN",14355,0,0,0,287,2000,0,0,NA,NA,"550004"
"TIGER 차이나CSI300인버스(합성)",7510,50,0.0067,0,285,3800,1e-04,6099,NA,NA,"217780"
"미래에셋 유럽 중형주 ETN(H)",14260,95,0.0067,0,285,2000,0,20,NA,NA,"590004"
"신한 금 선물 ETN(H)",14250,80,0.0056,0,285,2000,0,1771,NA,NA,"500016"
"KBSTAR 200선물인버스2X",2140,90,0.0439,0,285,13300,0.0012,1355991,NA,NA,"252420"
"신한 인버스 2X WTI원유 선물 ETN(H)",1135,15,-0.013,0,284,25000,0.0052,450363,NA,NA,"500027"
"TIGER 레버리지",25760,1140,-0.0424,0,283,1100,0.0142,480770,NA,NA,"123320"
"파워 200",43405,950,-0.0214,0,282,650,0,86,NA,NA,"152870"
"미래에셋 일본 중형주 ETN(H)",14095,0,0,0,282,2000,0,0,NA,NA,"590006"
"미래에셋 원자재 선물 ETN(H)",9390,50,0.0054,0,282,3000,0,11366,NA,NA,"520003"
"신한 은 선물 ETN(H)",14075,85,0.0061,0,282,2000,0,6227,NA,NA,"500017"
"KOSEF 미국달러선물",11580,15,0.0013,0,279,2410,8e-04,12705,NA,NA,"138230"
"KBSTAR 200TR",21415,475,-0.0217,0,278,1300,0,11472,NA,NA,"361580"
"TREX 200",42820,910,-0.0208,0,278,650,0,108,NA,NA,"108590"
"KBSTAR 글로벌4차산업IT(합성 H)",19870,100,-0.005,0,278,1400,0,25444,NA,NA,"276650"
"KINDEX 골드선물 레버리지(합성 H)",18530,100,0.0054,0,278,1500,0,33230,NA,NA,"225130"
"ARIRANG 미국S&P500(H)",15345,170,-0.011,0,276,1800,2e-04,15582,NA,NA,"269540"
"TIGER 코스닥150선물인버스",4610,100,0.0222,0,274,5950,0.028,651828,NA,NA,"250780"
"미래에셋 호주 ASX200 ETN(H)",13635,55,0.0041,0,273,2000,0,6,NA,NA,"520012"
"세방우",7390,10,0.0014,500,273,3689,0.1278,3957,71.06,NA,"004365"
"삼성 미국 대형 가치주 ETN(H)",13570,195,0.0146,0,271,2000,0,35716,NA,NA,"530016"
"신한 레버리지 S&P500 선물 ETN",13515,310,-0.0224,0,270,2000,0,166,NA,NA,"500050"
"KOSEF 200선물레버리지",24555,1055,-0.0412,0,270,1100,3e-04,17782,NA,NA,"253250"
