"종목명","현재가","전일비","등락률","액면가","시가총액","상장주식수","외국인비율","거래량","PER","ROE","종목코드"
"써니전자",4675,85,-0.0179,500,1629,34845,0.0247,2863937,34.89,1.28,"004770"
"NH투자증권우",8600,70,-0.0081,5000,1623,18871,0.0529,113982,4.18,NA,"005945"
"태경케미컬",13900,150,-0.0107,500,1612,11600,0.0174,159704,13.82,8.67,"006890"
"유니온머티리얼",3835,165,0.045,500,1611,42000,0,1855636,-91.31,2.83,"047400"
"형지엘리트",5120,760,0.1743,500,1595,31155,0,44732302,196.92,-2.02,"093240"
"TIGER 차이나전기차SOLACTIVE",12800,55,0.0043,0,1592,12440,0,1410406,NA,NA,"371460"
"삼일씨엔에스",12500,150,0.0121,1000,1591,12732,0.0126,140166,-183.82,0.97,"004440"
"토니모리",9000,90,0.0101,200,1588,17640,0.0066,225384,-4.97,-5.33,"214420"
"이수페타시스",3845,50,-0.0128,1000,1587,41268,0.0359,248841,-2,-71.84,"007660"
"쌍방울",659,2,0.003,500,1577,239360,0.0243,30108019,-3.36,-19.68,"102280"
"깨끗한나라",4235,60,-0.014,1000,1577,37241,0.0083,128179,3.26,-7.29,"004540"
"국동",4055,120,-0.0287,500,1574,38824,0.0291,1133544,6.29,-7.07,"005320"
"한솔홀딩스",3745,105,-0.0273,1000,1573,42009,0.1118,222298,8.77,6,"004150"
"지엠비코리아",8240,310,-0.0363,500,1572,19072,0.5617,499955,-19.3,1.22,"013870"
"사조대림",17000,300,-0.0173,5000,1558,9164,0.0065,44666,7.03,30.57,"003960"
"진양홀딩스",2770,0,0,500,1548,55895,0.0254,155198,4.83,4.98,"100250"
"화성산업",12400,150,-0.012,5000,1544,12451,0.1142,64600,3.58,2.06,"002460"
"신라교역",9590,60,-0.0062,500,1534,16000,0.0338,11923,165.34,2.01,"004970"
"KC코트렐",11800,300,0.0261,500,1534,13000,0.0093,1315274,-11.13,2.52,"119650"
"남성",4220,105,-0.0243,500,1528,36212,0.0055,902770,-34.59,-2.52,"004270"
"금강공업",5700,60,0.0106,1000,1521,26683,0.0182,101704,814.29,-3.23,"014280"
"KBSTAR 단기통안채",104225,15,-1e-04,0,1518,1456,6e-04,779895,NA,NA,"196230"
"한국패러랠",1895,0,0,0,1516,80020,0,57996,NA,NA,"168490"
"SK우",267500,3500,-0.0129,200,1514,566,0.0263,20143,1128.69,NA,"03473K"
"카프로",3780,0,0,500,1512,40000,0.0536,722802,-1.23,-36.47,"006380"
"신세계건설",37800,800,0.0216,5000,1512,4000,0.0299,394668,15.54,8.91,"034300"
"QV 코스피 양매도 5 OTM ETN",7555,0,0,0,1511,20000,0,0,NA,NA,"550056"
"일신석재",1950,15,-0.0076,500,1510,77457,0.0111,812964,139.29,1.77,"007110"
"우리들제약",10250,250,-0.0238,500,1508,14713,0.0256,192028,60.29,0.54,"004720"
"대성산업",3310,0,0,5000,1497,45235,0.0101,566521,-2.36,-14.15,"128820"
"계양전기",4590,250,-0.0517,500,1496,32600,0.0161,1227479,18.66,0.07,"012200"
"성창기업지주",2140,5,0.0023,500,1493,69752,0.0277,479764,118.89,-2.14,"000180"
"까뮤이앤씨",3305,155,0.0492,500,1492,45152,0.0135,10501481,12.52,20.68,"013700"
"삼성 인버스 2X 천연가스 선물 ETN B",29600,2085,0.0758,0,1480,5000,0,21678,NA,NA,"530069"
"유수홀딩스",5680,10,-0.0018,2500,1479,26042,0.0602,13419,18.56,1.83,"000700"
"비비안",5510,40,0.0073,500,1473,26736,0.0034,20882757,-2.76,-2.12,"002070"
"사조동아원",1040,46,0.0463,500,1468,141145,0.0142,5529348,19.62,0.49,"008040"
"CJ우",64500,200,0.0031,5000,1458,2260,0.1539,18847,10.71,NA,"001045"
"대한화섬",109500,1000,0.0092,5000,1454,1328,0.0043,2415,7.61,4.37,"003830"
"DRB동일",7290,130,-0.0175,500,1453,19930,0.018,58614,39.19,2.54,"004840"
"동아타이어",10550,250,-0.0231,500,1449,13733,0.0442,19476,9.45,NA,"282690"
"큐로",636,1,0.0016,500,1445,227212,0.0082,2007775,-57.82,NA,"015590"
"샘표",50200,400,0.008,1000,1444,2876,0.0601,28745,7.94,7.75,"007540"
"노루홀딩스",10750,50,-0.0046,500,1429,13291,0.0211,29909,24.05,1.25,"000320"
"신일전자",2010,75,0.0388,500,1428,71048,0.0402,7199277,28.71,6.32,"002700"
"광전자",2460,75,-0.0296,500,1425,57944,0.2115,397742,-43.93,1.56,"017900"
"한진중공업홀딩스",4815,245,0.0536,5000,1422,29530,0.0201,232632,63.36,8.98,"003480"
"대창",1560,40,-0.025,500,1422,91140,0.0239,1848456,30,2.75,"012800"
"대성에너지",5160,40,-0.0077,1000,1419,27500,0.0179,42647,9.79,4.28,"117580"
"한전산업",4340,90,-0.0203,500,1415,32600,0.0169,177117,10.46,21.47,"130660"
"아모레G우",21950,900,0.0428,500,1414,6444,0.4533,292835,77.56,NA,"002795"
"백산",5840,90,-0.0152,500,1413,24200,0.024,117259,-8.38,4.9,"035150"
"TIGER 미국S&P500선물(H)",43960,470,-0.0106,0,1407,3200,0,60928,NA,NA,"143850"
"미원화학",63600,300,-0.0047,1000,1399,2199,0.0529,313,9.23,14.07,"134380"
"KODEX 은선물(H)",5270,20,0.0038,0,1397,26500,0.0011,750606,NA,NA,"144600"
"보락",2330,40,-0.0169,200,1396,59900,0.005,674562,258.89,1.48,"002760"
"동일고무벨트",10200,50,-0.0049,500,1392,13650,0.0282,131383,20.36,4.35,"163560"
"디씨엠",11900,50,0.0042,500,1392,11700,0.0104,8834,5.9,14.18,"024090"
"디와이파워",12600,550,-0.0418,500,1391,11042,0.0627,146663,7.89,12.03,"210540"
"ARIRANG 코스피TR",15380,310,-0.0198,0,1384,9000,2e-04,20,NA,NA,"328370"
"대우부품",2890,45,-0.0153,500,1377,47646,0.0076,1187754,-67.21,-6.5,"009320"
"강남제비스코",21150,50,-0.0024,1000,1375,6500,0.1006,17614,8.6,2.8,"000860"
"마니커",692,3,0.0044,500,1373,198473,0.0117,1478729,-2.8,-18.14,"027740"
"화신",3915,10,-0.0025,500,1367,34920,0.0224,586557,-2.16,2.24,"010690"
"삼익악기",1505,70,0.0488,500,1362,90531,0.0249,1341717,250.83,6.27,"002450"
"영화금속",2550,140,0.0581,500,1362,53395,0.0122,6861646,-16.45,0.38,"012280"
"삼일제약",20300,300,-0.0146,1000,1359,6695,0.021,42691,140.97,1.33,"000520"
"조선선재",108000,3000,-0.027,500,1358,1258,0.0569,6085,11.81,12.02,"120030"
"한창제지",2275,10,-0.0044,500,1357,59667,0.0029,715312,14.4,9.05,"009460"
"동양철관",1140,25,-0.0215,500,1355,118885,0.0295,915563,16.76,2.24,"008970"
"남광토건",13750,100,0.0073,5000,1351,9829,0.0104,97906,19.31,7.58,"001260"
"삼아알미늄",12200,400,-0.0317,500,1342,11000,0.3293,395241,35.47,4.62,"006110"
"SG세계물산",657,7,0.0108,500,1330,202425,0.0204,11139850,-31.29,4.81,"004060"
"TIGER 경기방어",12975,260,-0.0196,0,1326,10220,0,55910,NA,NA,"139280"
"디와이",5030,80,-0.0157,500,1324,26320,0.0982,251379,17.23,4.73,"013570"
"대신 골드 커버드콜 타겟 5인컴 ETN(H)",13195,5,-4e-04,0,1320,10000,0,7,NA,NA,"510011"
"인터지스",4410,240,0.0576,500,1312,29748,0.0108,8530589,-4.95,-14.2,"129260"
"신원",1540,45,0.0301,500,1310,85042,0.0259,2245756,-36.67,0.74,"009270"
"범양건영",5270,170,-0.0312,1000,1309,24832,0.005,507648,8.27,32.82,"002410"
"영풍제지",5890,190,-0.0312,500,1308,22200,0.0014,338430,14.62,NA,"006740"
"TRUE 인버스 2X 천연가스 선물 ETN(H)",25975,2580,0.1103,0,1299,5000,0,64684,NA,NA,"570046"
"우리들휴브레인",2575,65,-0.0246,500,1298,50399,0.0152,741785,16.51,-17.72,"118000"
"크라운해태홀딩스",8740,180,-0.0202,500,1298,14847,0.0259,29472,-38.84,-7.49,"005740"
"유화증권",2285,35,-0.0151,1000,1296,56702,0.0298,53838,29.29,1.36,"003460"
"TIGER 헬스케어",50440,1915,-0.0366,0,1291,2560,0.0198,148716,NA,NA,"143860"
"세이브존I&C",3145,10,-0.0032,1000,1291,41041,0.0932,128311,10.48,5.05,"067830"
"한국공항",40750,1050,-0.0251,5000,1290,3166,0.0594,27902,-4.07,5.07,"005430"
"덕성",8220,90,0.0111,500,1289,15680,0.0066,658081,34.11,0.29,"004830"
